Timestamp,CO2,Finedust,Humidity,Temperature,Lightpower,Fanpower,Roompower,Result
2022-08-03 18:00,735.44,5.08,56.62,24.88,13.3,3.62,71.57,0
2022-08-03 19:00,662.91,5.25,55.74,25.04,13.29,12.28,113.6,0
2022-08-03 20:00,656.26,5.1,53.4,25.32,13.37,14.58,104.81,0
2022-08-03 21:00,654.13,4.85,53.62,25.46,13.54,7.75,106.28,0
2022-08-03 22:00,655.56,4.72,55.67,25.5,13.43,14.8,110.57,0
2022-08-03 23:00,653.73,4.77,53.6,25.5,13.37,6.06,109.11,0
2022-08-04 0:00,672.66,4.52,55.4,25.58,13.44,21.7,111.19,0
2022-08-04 1:00,708.69,4.21,53.6,25.6,13.39,1.9,104.66,0
2022-08-04 2:00,747.21,4.09,53.14,25.6,13.44,8.83,119.77,0
2022-08-04 3:00,773.53,3.69,54.44,25.6,13.53,14.64,111.37,0
2022-08-04 4:00,809.88,3.65,53,25.63,13.4,2.11,113.32,0
2022-08-04 5:00,839.49,3.29,54.61,25.65,13.45,13.66,115.11,0
2022-08-04 6:00,860.73,3.03,53.89,25.66,13.39,7.89,107.99,0
2022-08-04 7:00,919.03,3.16,53.1,25.66,13.41,4.59,106.89,0
2022-08-04 8:00,988.12,3.83,53.14,25.62,13.39,4.05,100.95,0
2022-08-04 9:00,1004.36,3.49,53.94,25.63,13.4,12.95,107.67,0
2022-08-04 10:00,995.41,3.08,58,25.58,13.54,22.09,111.35,0
2022-08-04 11:00,967,2.67,53.85,25.6,13.38,14.45,107.8,0
2022-08-04 12:00,912.87,2.69,52.83,25.58,13.48,16.62,124.56,0
2022-08-04 13:00,826.9,2.92,52.35,25.6,13.42,17.6,110.37,0
2022-08-04 14:00,728,3.18,52.75,25.5,13.46,17.07,119.31,0
2022-08-04 15:00,683.39,3.06,55.92,25.5,13.48,17.3,113.33,0
2022-08-04 16:00,664.36,3.08,52.63,25.49,13.33,16.85,79.12,0
2022-08-04 17:00,643.58,2.71,56.35,25.27,13.69,26.36,55.01,0
2022-08-04 18:00,620.74,2.13,56.78,24.88,13.35,10.13,78.85,0
2022-08-04 19:00,616.25,2.15,54.18,24.88,13.31,9.54,114.18,0
2022-08-04 20:00,632.67,2.1,52.61,25.22,13.32,10.91,100.84,0
2022-08-04 21:00,640.6,2.14,52.81,25.4,13.54,17.69,118.18,0
2022-08-04 22:00,664.96,2.11,55.36,25.46,13.35,11.91,108.99,0
2022-08-04 23:00,709.8,2.16,53.4,25.5,13.46,5.95,112.45,0
2022-08-05 0:00,772.25,2.41,55.49,25.5,13.53,11.01,125.33,0
2022-08-05 1:00,823.78,2.49,53.3,25.6,13.31,17.76,110.42,0
2022-08-05 2:00,875.18,2.73,52.2,25.6,13.46,12.32,113.63,0
2022-08-05 3:00,913.97,3.33,53.99,25.6,13.34,12.39,111.56,0
2022-08-05 4:00,936.68,3.44,52.51,25.6,13.33,10,107.44,0
2022-08-05 5:00,953.38,5.62,55.2,25.6,13.49,15.89,109.2,0
2022-08-05 6:00,972.78,6.33,54.26,25.6,13.41,6.32,109.59,0
2022-08-05 7:00,977.25,5,52.83,25.6,13.35,7.76,108.06,0
2022-08-05 8:00,998.17,4.4,52.66,25.6,13.29,6.69,105.98,0
2022-08-05 9:00,1001.83,3.7,52.51,25.6,13.43,8.9,113.63,0
2022-08-05 10:00,1006.32,3.39,58.13,25.56,13.46,20.46,118.43,0
2022-08-05 11:00,973.19,3.64,54.47,25.6,13.43,17.34,112.14,0
2022-08-05 12:00,916.68,3.5,52.98,25.56,13.4,12.69,118.9,0
2022-08-05 13:00,820.22,3.22,52.64,25.51,13.38,12.05,115.37,0
2022-08-05 14:00,749.23,2.82,52.53,25.5,13.42,18.79,111.02,0
2022-08-05 15:00,689.91,2.35,54.9,25.5,13.47,16.13,113.62,0
2022-08-05 16:00,686.44,2.45,51.96,25.48,13.36,7.12,74.82,0
2022-08-05 17:00,690.33,2.06,56.77,25.13,13.61,18.66,55.17,0
2022-08-05 18:00,662.12,1.96,55.96,24.83,13.53,12.9,69.02,0
2022-08-05 19:00,617.43,2.05,54.68,25.01,13.41,11.15,112.61,0
2022-08-05 20:00,617.17,2.32,53.54,25.25,13.42,10.24,110.32,0
2022-08-05 21:00,654.63,2.58,52.42,25.38,13.5,12.23,113.67,0
2022-08-05 22:00,643.39,2.81,54.67,25.45,13.44,15.21,115.07,0
2022-08-05 23:00,699.05,3.21,52.8,25.5,13.35,14.6,109.56,0
2022-08-06 0:00,769.79,3.77,55.01,25.5,13.41,14.96,126.65,0
2022-08-06 1:00,853.08,6.03,53.51,25.54,13.42,9.61,112.35,0
2022-08-06 2:00,1008.76,19.56,61.06,25.64,31.17,24.23,191.04,0
2022-08-06 3:00,1030.38,18.71,62.23,25.62,10.27,31.26,230.72,1
2022-08-06 4:00,1191.06,9.94,58.33,25.64,10.12,15.88,208.74,1
2022-08-06 5:00,1256.52,6.29,58.67,25.63,10.15,22.21,172.45,0
2022-08-06 6:00,1323.89,5.31,57.64,25.7,10.07,19.99,176.18,0
2022-08-06 7:00,1380.72,5.83,56.89,25.75,10.06,23.31,165.41,0
2022-08-06 8:00,1409.61,5.67,56.04,25.75,12.63,15.93,182.87,0
2022-08-06 9:00,1481.24,13.7,57.16,25.67,51.86,29.74,274,1
2022-08-06 10:00,1325.89,13.6,56.63,25.75,20.22,25.46,145.19,0
2022-08-06 11:00,1252.63,8.45,54.15,25.49,13.4,15.51,109.63,0
2022-08-06 12:00,1134.63,7.83,53.92,25.46,13.43,8.09,114.63,0
2022-08-06 13:00,993.32,6.97,53.55,25.4,13.54,12.22,112.21,0
2022-08-06 14:00,860.08,6.67,54.48,25.4,13.53,17.22,113.11,0
2022-08-06 15:00,773.92,6,57.04,25.4,13.55,9.31,111.9,0
2022-08-06 16:00,725.55,5.89,53.17,25.39,13.38,11.82,78.4,0
2022-08-06 17:00,698.97,5.44,56.68,25.02,13.68,17.06,57.07,0
2022-08-06 18:00,661.1,5.42,56.96,24.79,13.36,9.21,84.75,0
2022-08-06 19:00,628.28,5.13,54.68,24.85,13.34,8.42,109.85,0
2022-08-06 20:00,601.42,5.1,53.83,25.16,13.35,5.14,108.51,0
2022-08-06 21:00,604.66,6.32,53.54,25.3,13.37,4.6,115.29,0
2022-08-06 22:00,639.16,6.23,57.36,25.32,13.48,11.54,113.02,0
2022-08-06 23:00,691.86,5.75,53.7,25.4,13.46,7.77,96.82,0
2022-08-07 0:00,773.91,5.43,54,25.4,13.56,14.95,111.55,0
2022-08-07 1:00,1059.84,12.58,59.72,25.58,42.64,16.94,182.56,0
2022-08-07 2:00,1517.19,26.49,60.73,25.7,14.46,29.4,126.59,0
2022-08-07 3:00,1743.32,11.46,60.92,25.62,12.62,23.55,124.53,0
2022-08-07 4:00,1732.47,5.88,57.52,25.54,12.62,23.9,120.55,0
2022-08-07 5:00,1718.51,4.45,60.7,25.5,12.72,30.66,137.66,0
2022-08-07 6:00,1719.17,4.17,58.61,25.56,12.55,20.31,124.85,0
2022-08-07 7:00,1746.05,4.7,57.86,25.5,11.43,21.48,171.16,0
2022-08-07 8:00,1751.11,4.39,57.3,25.49,11.47,20.96,171.79,0
2022-08-07 9:00,1742.68,4.55,57.32,25.45,11.62,30.72,180.49,0
2022-08-07 10:00,1755.43,4.44,58.87,25.42,11.41,23.77,187.92,0
2022-08-07 11:00,1742.05,25.03,63.69,25.52,14.13,28.38,178.01,0
2022-08-07 12:00,1477.33,14.2,58.63,25.7,34.52,24.84,166.62,0
2022-08-07 13:00,1210.06,8.31,54.81,25.7,13.54,13.86,124.37,0
2022-08-07 14:00,1031.23,6.73,55.52,25.64,13.59,15.5,116.13,0
2022-08-07 15:00,941.81,5.26,56.77,25.59,13.6,25.2,116.14,0
2022-08-07 16:00,1074.61,5.45,53.98,25.48,35.11,26.59,139.53,0
2022-08-07 17:00,1011.04,4.32,59.12,25.2,13.59,22.53,53.89,0
2022-08-07 18:00,833.15,3.71,57.62,24.9,13.44,15.72,72.98,0
2022-08-07 19:00,768.1,3.6,55.12,25,13.48,11.43,105.95,0
2022-08-07 20:00,788.76,4.07,53.88,25.3,13.36,7.27,108.71,0
2022-08-07 21:00,770.83,3.6,54.08,25.4,13.53,13.07,123.79,0
2022-08-07 22:00,777,3.54,56.46,25.49,13.49,7.17,106.76,0
2022-08-07 23:00,802.06,4.26,53.33,25.5,13.34,13.62,111.3,0
2022-08-08 0:00,864.06,4.32,54.67,25.51,13.57,15.26,122.67,0
2022-08-08 1:00,894.12,4.3,53.19,25.57,13.35,6.32,99.93,0
2022-08-08 2:00,931.29,4.42,52.3,25.58,13.48,6.14,113.64,0
