time,GD-201,GD-202,PT-201,TEMP,Chiller No. 1 Dispenser COOLER,Chiller No. 2 Dispenser COOLER,GD-203,T.T1-1A,P.T1-1A,T.T2-1A,P.T2-1A,T.T1A(OIL),GD-204,T.T1-1B,P.T1-1B,T.T2-1B,P.T2-1B,T.T1B(OIL),PT-202,PT-204,PT-203,PT-205,GD-205,GD-206
10:36:18,0,0,11.51,21,5,-37,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.66,44.75,86.1,86.53,0,0
10:36:19,0,0,11.51,21,5,-37,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.66,44.75,86.1,86.53,0,0
10:36:20,0,0,11.47,21,5,-37,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.59,44.69,86.06,86.4,0,0
10:36:21,0,0,11.47,21,5,-37,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.59,44.69,86.06,86.4,0,0
10:36:22,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.59,44.69,86.06,86.4,0,0
10:36:23,0,0,11.52,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,44.65,44.76,86.1,86.49,0,0
10:36:24,0,0,11.52,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,44.65,44.76,86.1,86.49,0,0
10:36:25,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,86.08,86.42,0,0
10:36:26,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,86.08,86.42,0,0
10:36:27,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,86.08,86.42,0,0
10:36:28,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.55,44.67,86.05,86.4,0,0
10:36:29,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.55,44.67,86.05,86.4,0,0
10:36:30,0,0,11.52,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.66,44.83,86.14,86.53,0,0
10:36:31,0,0,11.52,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.66,44.83,86.14,86.53,0,0
10:36:32,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.59,44.76,86.06,86.5,0,0
10:36:33,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.59,44.76,86.06,86.5,0,0
10:36:34,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.59,44.76,86.06,86.5,0,0
10:36:35,0,0,11.49,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.6,44.78,86.1,86.48,0,0
10:36:36,0,0,11.49,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.6,44.78,86.1,86.48,0,0
10:36:37,0,0,11.47,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52.1,31,44.62,44.76,86.11,86.51,0,0
10:36:38,0,0,11.47,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52.1,31,44.62,44.76,86.11,86.51,0,0
10:36:39,0,0,11.44,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.3,27,52,31,44.54,44.72,86.01,86.39,0,0
10:36:40,0,0,11.44,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.3,27,52,31,44.54,44.72,86.01,86.39,0,0
10:36:41,0,0,11.45,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.3,27,52,31,44.54,44.72,86.01,86.39,0,0
10:36:42,0,0,11.45,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,27,52.1,31,44.59,44.71,86.08,86.38,0,0
10:36:43,0,0,11.45,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,27,52.1,31,44.59,44.71,86.08,86.38,0,0
10:36:44,0,0,11.46,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52,31,44.55,44.7,86.08,86.5,0,0
10:36:45,0,0,11.46,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52,31,44.55,44.7,86.08,86.5,0,0
10:36:46,0,0,11.51,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,44.7,44.81,86.19,86.53,0,0
10:36:47,0,0,11.51,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,44.7,44.81,86.19,86.53,0,0
10:36:48,0,0,11.47,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,27,52.1,31,44.56,44.7,86.03,86.43,0,0
10:36:49,0,0,11.47,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,27,52.1,31,44.56,44.7,86.03,86.43,0,0
10:36:50,0,0,11.51,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.67,44.77,86.12,86.49,0,0
10:36:51,0,0,11.51,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.67,44.77,86.12,86.49,0,0
10:36:52,0,0,11.49,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.57,44.79,86.03,86.47,0,0
10:36:53,0,0,11.49,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.57,44.79,86.03,86.47,0,0
10:36:54,0,0,11.48,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.59,44.73,86.08,86.41,0,0
10:36:55,0,0,11.48,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.59,44.73,86.08,86.41,0,0
10:36:56,0,0,11.46,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.61,44.67,86.04,86.38,0,0
10:36:57,0,0,11.46,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.61,44.67,86.04,86.38,0,0
10:36:58,0,0,11.51,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,27,52,31,44.67,44.82,86.14,86.5,0,0
10:36:59,0,0,11.51,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,27,52,31,44.67,44.82,86.14,86.5,0,0
10:37:00,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:37:01,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:37:02,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:37:03,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:37:04,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:37:05,0,0,11.51,20.9,5,-39,0,22,6.5,22,50.3,19,3,21,8.4,28,52,31,44.69,44.81,86.11,86.48,0,0
10:37:06,0,0,11.51,20.9,5,-39,0,22,6.5,22,50.3,19,3,21,8.4,28,52,31,44.69,44.81,86.11,86.48,0,0
10:37:07,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.73,86.05,86.4,0,0
10:37:08,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.73,86.05,86.4,0,0
10:37:09,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.73,86.05,86.4,0,0
10:37:10,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.72,86.07,86.42,0,0
10:37:11,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.72,86.07,86.42,0,0
10:37:12,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.72,86.07,86.42,0,0
10:37:13,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.59,44.74,86.1,86.47,0,0
10:37:14,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.59,44.74,86.1,86.47,0,0
10:37:15,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.59,44.74,86.1,86.47,0,0
10:37:16,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,44.69,85.99,86.43,0,0
10:37:17,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,44.69,85.99,86.43,0,0
10:37:18,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,44.69,85.99,86.43,0,0
10:37:19,0,0,11.49,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,27,52,31,44.65,44.82,86.14,86.51,0,0
10:37:20,0,0,11.49,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,27,52,31,44.65,44.82,86.14,86.51,0,0
10:37:21,0,0,11.51,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,28,52,31,44.67,44.77,86.11,86.51,0,0
10:37:22,0,0,11.51,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,28,52,31,44.67,44.77,86.11,86.51,0,0
10:37:23,0,0,11.51,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,28,52,31,44.67,44.77,86.11,86.51,0,0
10:37:24,0,0,11.48,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.4,27,52,31,44.59,44.72,86.1,86.43,0,0
10:37:25,0,0,11.48,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.4,27,52,31,44.59,44.72,86.1,86.43,0,0
10:37:26,0,0,11.5,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,27,52,31,44.69,44.83,86.15,86.47,0,0
10:37:27,0,0,11.5,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,27,52,31,44.69,44.83,86.15,86.47,0,0
10:37:28,0,0,11.5,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,27,52,31,44.69,44.83,86.15,86.47,0,0
10:37:29,0,0,11.5,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.65,44.79,86.13,86.42,0,0
10:37:30,0,0,11.5,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.65,44.79,86.13,86.42,0,0
10:37:31,0,0,11.48,21,5,-39,0,22,6.5,22,50.3,19,3,21,8.4,28,52,31,44.64,44.79,86.06,86.54,0,0
10:37:32,0,0,11.48,21,5,-39,0,22,6.5,22,50.3,19,3,21,8.4,28,52,31,44.64,44.79,86.06,86.54,0,0
10:37:33,0,0,11.51,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,28,52,31,44.66,44.82,86.15,86.52,0,0
10:37:34,0,0,11.51,21,5,-39,0,22,6.6,22,50.4,19,3,21,8.4,28,52,31,44.66,44.82,86.15,86.52,0,0
10:37:35,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.64,86.06,86.38,0,0
10:37:36,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.64,86.06,86.38,0,0
10:37:37,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.64,86.06,86.38,0,0
10:37:38,0,0,11.47,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.4,27,52,31,44.61,44.74,86.05,86.47,0,0
10:37:39,0,0,11.47,21,5,-39,0,22,6.6,22,50.3,19,3,21,8.4,27,52,31,44.61,44.73,86.07,86.4,0,0
10:37:40,0,0,11.47,21,5,-39,0,22,6.6,22,50.3,19,3,21,8.4,27,52,31,44.61,44.73,86.07,86.4,0,0
10:37:41,0,0,11.51,21,5,-40,0,22,6.6,22,50.4,19,3,21,8.4,27,52,31,44.66,44.81,86.15,86.43,0,0
10:37:42,0,0,11.51,21,5,-40,0,22,6.6,22,50.4,19,3,21,8.4,27,52,31,44.66,44.81,86.15,86.43,0,0
10:37:43,0,0,11.47,21,5,-40,0,22,6.6,21,50.3,19,3,21,8.3,27,52,31,44.57,44.74,86.08,86.43,0,0
10:37:44,0,0,11.47,21,5,-40,0,22,6.6,21,50.3,19,3,21,8.3,27,52,31,44.57,44.74,86.08,86.43,0,0
10:37:45,0,0,11.49,21,5,-40,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.54,44.72,86.04,86.42,0,0
10:37:46,0,0,11.49,21,5,-40,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.54,44.72,86.04,86.42,0,0
10:37:47,0,0,11.45,21,5,-40,0,22,6.5,21,50.3,19,3,21,8.4,27,52,31,44.58,44.69,86.03,86.43,0,0
10:37:48,0,0,11.45,21,5,-40,0,22,6.5,21,50.3,19,3,21,8.4,27,52,31,44.58,44.69,86.03,86.43,0,0
10:37:49,0,0,11.44,21,5,-40,0,22,6.5,22,50.4,19,3,21,8.3,27,51.9,31,44.54,44.66,86.02,86.44,0,0
10:37:50,0,0,11.44,21,5,-40,0,22,6.5,22,50.4,19,3,21,8.3,27,51.9,31,44.54,44.66,86.02,86.44,0,0
10:37:51,0,0,11.44,21,5,-40,0,22,6.5,22,50.4,19,3,21,8.3,27,51.9,31,44.54,44.66,86.02,86.44,0,0
10:37:52,0,0,11.51,21,5,-40,0,22,6.6,22,50.4,19,3,21,8.4,27,52,31,44.69,44.75,86.12,86.42,0,0
