time,GD-201,GD-202,PT-201,TEMP,Chiller No. 1 Dispenser COOLER,Chiller No. 2 Dispenser COOLER,GD-203,T.T1-1A,P.T1-1A,T.T2-1A,P.T2-1A,T.T1A(OIL),GD-204,T.T1-1B,P.T1-1B,T.T2-1B,P.T2-1B,T.T1B(OIL),PT-202,PT-204,PT-203,PT-205,GD-205,GD-206
10:37:01,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,99,0,0
10:37:02,0,0,19,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:37:03,0,0,11.47,21,5,-38,0,22,15,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:37:04,0,0,11.47,21,5,-38,0,22,6.6,21,66,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:37:05,0,0,11.51,20.9,5,-39,0,22,6.5,22,50.3,19,3,21,15,28,52,31,44.69,44.81,86.11,86.48,0,0
10:37:06,0,0,11.51,20.9,5,-39,0,22,6.5,22,50.3,19,3,21,8.4,28,80,31,44.69,44.81,86.11,86.48,0,0
10:37:07,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,77,44.73,86.05,86.4,0,0
10:37:08,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,85,86.05,86.4,0,0
10:37:09,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.73,110,86.4,0,0
10:37:10,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.72,86.07,110,0,0
10:37:11,0,0,18,21,5,-39,0,22,22,21,50.4,19,3,21,8.4,27,52,31,44.6,44.72,86.07,86.42,0,0
10:37:12,0,0,11.48,21,5,-39,0,22,6.6,21,66,19,3,21,8.4,27,52,31,44.6,44.72,86.07,86.42,0,0
10:37:13,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,30,27,52,31,44.59,44.74,86.1,86.47,0,0
10:37:14,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.3,27,70,31,44.59,44.74,86.1,86.47,0,0
10:37:15,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,66,44.74,86.1,86.47,0,0
10:37:16,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,71,85.99,86.43,0,0
10:37:17,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,44.69,88,97,0,0
10:37:18,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,44.69,89,120,0,0
10:37:19,0,0,15.5,21,5,-37,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.66,44.75,86.1,86.53,0,0
10:37:20,0,0,11.51,21,5,-37,0,22,13,22,50.4,19,3,21,8.4,28,52.1,31,44.66,44.75,86.1,86.53,0,0
10:37:21,0,0,11.47,21,5,-37,0,22,6.6,21,76,19,3,21,8.4,27,52.1,31,44.59,44.69,86.06,86.4,0,0
10:37:22,0,0,11.47,21,5,-37,0,22,6.6,21,50.3,19,3,21,23,27,52.1,31,44.59,44.69,86.06,86.4,0,0
10:37:23,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,76,31,44.59,44.69,86.06,86.4,0,0
10:37:24,0,0,11.52,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,65,44.76,86.1,86.49,0,0
10:37:25,0,0,11.52,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,44.65,66,86.1,86.49,0,0
10:37:26,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,98,86.42,0,0
10:37:27,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,86.08,99,0,0
10:37:28,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,95,86.42,0,0
10:37:29,0,0,17,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.55,44.67,86.05,86.4,0,0
10:37:30,0,0,11.47,21,5,-38,0,22,14,21,50.3,19,3,21,8.3,27,52,31,44.55,44.67,86.05,86.4,0,0
10:37:31,0,0,11.52,21,5,-38,0,22,6.6,22,77,19,3,21,8.4,28,52.1,31,44.66,44.83,86.14,86.53,0,0
10:37:32,0,0,11.52,21,5,-38,0,22,6.6,22,50.4,19,3,21,27,28,52.1,31,44.66,44.83,86.14,86.53,0,0
10:37:33,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,76,31,44.59,44.76,86.06,86.5,0,0
