년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-01-08,4,7563.6,315,1767.6,0,1767.6,3.6,0,0,0,0,0,0,0,7.2,126,250.2,714.6,847.8,1353.6,1767.6,1533.6,878.4,81,3.6,0,0,0,0,0,0
2020-01-09,1,4111.92,171,731.52,0,731.52,0.72,0,0,0,0,0,0,0,0.72,77.04,368.64,590.4,701.28,731.52,672.48,545.76,330.48,91.44,2.16,0,0,0,0,0,0
2020-01-09,2,4162.32,173,754.56,0,754.56,1.44,0,0,0,0,0,0,0,2.16,126,383.76,585.36,712.8,754.56,700.56,543.6,274.32,77.76,1.44,0,0,0,0,0,0
2020-01-09,3,7111.8,296,1427.4,0,1427.4,3.6,0,0,0,0,0,0,0,3.6,100.8,304.2,1072.8,1342.8,1427.4,1310.4,1040.4,421.2,84.6,3.6,0,0,0,0,0,0
2020-01-09,4,10333.8,431,1884.6,0,1884.6,5.4,0,0,0,0,0,0,0,7.2,257.4,941.4,1481.4,1785.6,1884.6,1738.8,1364.4,739.8,127.8,5.4,0,0,0,0,0,0
2020-01-10,1,3975.12,166,720,0,720,0.72,0,0,0,0,0,0,0,0.72,61.92,349.2,540.72,700.56,720,568.8,564.48,360,105.84,2.88,0,0,0,0,0,0
2020-01-10,2,3997.44,167,745.92,0,745.92,2.16,0,0,0,0,0,0,0,2.16,79.92,358.56,537.84,706.32,745.92,630.72,559.44,290.88,83.52,2.16,0,0,0,0,0,0
2020-01-10,3,6753.6,281,1384.2,0,1384.2,5.4,0,0,0,0,0,0,0,5.4,91.8,322.2,1002.6,1359,1384.2,977.4,1085.4,448.2,72,5.4,0,0,0,0,0,0
2020-01-10,4,9853.2,411,1848.6,0,1848.6,5.4,0,0,0,0,0,0,0,9,181.8,894.6,1359,1789.2,1848.6,1384.2,1423.8,835.2,122.4,5.4,0,0,0,0,0,0
2020-01-11,1,4252.32,177,747.36,0,747.36,1.44,0,0,0,0,0,0,0,1.44,79.92,406.08,630.72,720,747.36,694.08,568.8,295.2,102.96,5.76,0,0,0,0,0,0
2020-01-11,2,4325.04,180,768.96,0,768.96,3.6,0,0,0,0,0,0,0,3.6,139.68,417.6,619.92,723.6,768.96,730.08,571.68,253.44,92.16,4.32,0,0,0,0,0,0
2020-01-11,3,7489.8,312,1477.8,0,1477.8,3.6,0,0,0,0,0,0,0,3.6,93.6,313.2,1161,1400.4,1477.8,1377,1099.8,435.6,117,10.8,0,0,0,0,0,0
2020-01-11,4,10841.4,452,1949.4,0,1949.4,7.2,0,0,0,0,0,0,0,7.2,293.4,1056.6,1571.4,1857.6,1949.4,1816.2,1447.2,671.4,158.4,12.6,0,0,0,0,0,0
2020-01-12,1,4034.16,168,730.08,0,730.08,4.32,0,0,0,0,0,0,0,0,51.12,398.16,609.84,706.32,730.08,675.36,468.72,311.04,79.2,4.32,0,0,0,0,0,0
2020-01-12,2,4050.72,169,743.04,0,743.04,1.44,0,0,0,0,0,0,0,1.44,57.6,402.48,602.64,712.08,743.04,712.8,482.4,261.36,72,2.88,0,0,0,0,0,0
2020-01-12,3,7158.6,298,1416.6,0,1416.6,5.4,0,0,0,0,0,0,0,0,91.8,385.2,1125,1339.2,1416.6,1315.8,901.8,469.8,108,5.4,0,0,0,0,0,0
2020-01-12,4,10096.2,421,1861.2,0,1861.2,3.6,0,0,0,0,0,0,0,3.6,133.2,1022.4,1519.2,1783.8,1861.2,1755,1180.8,693,136.8,7.2,0,0,0,0,0,0
2020-01-13,1,4514.4,188,772.56,0,772.56,1.44,0,0,0,0,0,0,0,1.44,81.36,410.4,645.12,743.76,772.56,720,607.68,403.2,124.56,4.32,0,0,0,0,0,0
2020-01-13,2,4499.28,187,783.36,0,783.36,2.88,0,0,0,0,0,0,0,5.04,142.56,424.8,632.88,737.28,783.36,745.2,599.76,329.04,96.48,2.88,0,0,0,0,0,0
2020-01-13,3,7792.2,325,1497.6,0,1497.6,5.4,0,0,0,0,0,0,0,5.4,97.2,345.6,1202.4,1436.4,1497.6,1411.2,1171.8,547.2,72,5.4,0,0,0,0,0,0
